  9 AC MON    07 01 23.39 -08 45 41.4 10.720 0.010 10.044 0.007  9.908 0.013 21 21 21 10.768 10.093  9.914                      
 10 AC MON    07 01 03.14 -08 47 20.4 10.911 0.009 10.203 0.008 10.102 0.015 22 22 22 10.860 10.189 10.033                      
 11 AC MON    07 01 16.48 -08 41 42.5 10.350 0.027 10.315 0.027 10.294 0.032 22 22 22 10.320 10.248 10.246 Var BB MON           
 12 AC MON    07 01 18.25 -08 47 30.9 11.033 0.008 10.412 0.008 10.324 0.016 22 22 22 11.039 10.482 10.322                      
 14 AC MON    07 01 24.59 -08 43 33.3 11.313 0.009 10.533 0.008 10.322 0.018 21 21 21 11.310 10.544 10.319                      
 17 AC MON    07 01 06.77 -08 44 21.4 11.222 0.008 11.116 0.009 11.158 0.030 22 22 22 11.203 11.150 11.120                      
 20 AC MON    07 01 04.58 -08 45 07.6 11.813 0.013 11.158 0.012 11.111 0.037 20 22 22 11.792 11.168 11.068                      
  1 AD GEM    06 43 13.15 +20 56 49.4  7.081 0.002  6.411 0.002  6.321 0.003 24 24 24  7.129  6.460  6.237                      
  2 AD GEM    06 43 27.69 +20 51 18.0  7.715 0.004  6.806 0.006  6.641 0.004 24 24 24  7.723  6.900  6.561                      
  3 AD GEM    06 42 55.18 +20 55 21.8  8.264 0.003  7.442 0.006  7.321 0.008 23 23 23  8.304  7.519  7.290                      
  4 AD GEM    06 43 06.27 +21 02 18.0  8.390 0.008  7.511 0.009  7.313 0.013 17 17 17  8.347  7.466  7.225                      
  5 AD GEM    06 43 07.51 +20 56 20.9  8.468 0.018  8.140 0.016  8.066 0.015 24 24 24  8.354  8.071  7.960 Ceph AD GEM          
  7 AD GEM    06 43 08.59 +20 52 53.4 10.157 0.004  9.577 0.006  9.515 0.008 24 24 24 10.126  9.560  9.463                      
  8 AD GEM    06 43 07.73 +21 00 17.9 10.636 0.006 10.035 0.005  9.950 0.010 24 24 24 10.600  9.977  9.886                      
 10 AD GEM    06 42 53.79 +20 59 17.1 10.721 0.006 10.161 0.010 10.091 0.016 20 20 20 10.737 10.198 10.078                      
 11 AD GEM    06 43 16.36 +20 52 13.8 10.813 0.006 10.680 0.007 10.705 0.022 24 24 24 10.743 10.662 10.624                      
 12 AD GEM    06 43 04.44 +20 55 35.5 11.493 0.008 11.015 0.009 10.999 0.032 24 24 24 11.472 11.028 10.903                      
 14 AD GEM    06 42 58.77 +20 58 05.2 11.790 0.014 11.228 0.010 11.218 0.029 24 24 24 11.815 11.236 11.122                      
 15 AD GEM    06 43 28.33 +20 56 57.6 11.736 0.017 11.470 0.015 11.483 0.030 24 24 22 11.663 11.418 11.327                      
  2 AK CEP    22 29 12.60 +58 12 32.5  8.336 0.003  7.040 0.005  6.573 0.010 21 21 21  8.323  7.032  6.468                      
  6 AK CEP    22 28 50.06 +58 12 39.3  8.404 0.018  7.884 0.016  7.740 0.015 21 21 21  8.463  7.888  7.700 Ceph AK CEP          
 14 AK CEP    22 29 19.75 +58 16 10.9  9.213 0.004  8.497 0.006  8.254 0.032 21 21 21  9.220  8.562  8.293                      
 19 AK CEP    22 29 35.97 +58 14 38.4 10.182 0.006  8.775 0.010  8.206 0.036 19 19 20 10.243  8.824  8.257                      
 26 AK CEP    22 29 06.63 +58 08 05.0  9.875 0.005  9.263 0.003  9.177 0.009 21 21 21  9.865  9.294  9.132                      
 27 AK CEP    22 28 53.79 +58 14 44.5 10.092 0.004  9.433 0.004  9.284 0.012 21 21 21 10.092  9.414  9.233                      
 28 AK CEP    22 29 37.91 +58 07 19.8 10.117 0.006  9.499 0.005  9.366 0.008 18 18 18 10.106  9.538  9.347                      
 29 AK CEP    22 28 33.09 +58 13 40.2 10.381 0.004  9.566 0.004  9.399 0.010 21 21 21 10.479  9.568  9.338                      
 30 AK CEP    22 29 21.70 +58 09 45.7 10.511 0.004  9.716 0.004  9.563 0.008 21 21 21 10.549  9.765  9.535                      
 31 AK CEP    22 28 58.14 +58 07 09.8 10.382 0.004  9.661 0.004  9.575 0.016 21 21 21 10.348  9.672  9.470                      
 35 AK CEP    22 28 53.90 +58 11 43.2 10.476 0.004  9.846 0.004  9.782 0.010 21 21 21 10.484  9.848  9.724                      
 41 AK CEP    22 28 43.77 +58 11 45.7 10.930 0.005 10.222 0.005 10.156 0.015 21 21 21 10.908 10.227 10.015                      
 43 AK CEP    22 28 58.97 +58 13 36.4 11.080 0.006 10.272 0.005 10.105 0.015 21 21 21 11.085 10.251 10.003                      
 44 AK CEP    22 28 44.30 +58 13 39.6 11.398 0.007 10.274 0.005  9.977 0.012 21 21 21 11.405 10.273  9.894                      
 45 AK CEP    22 28 46.32 +58 08 46.2 10.171 0.004  9.677 0.007  9.662 0.017 21 21 21 10.285  9.821  9.683                      
 46 AK CEP    22 29 12.23 +58 10 24.6 10.964 0.005 10.372 0.005 10.290 0.013 21 21 21 10.955 10.339 10.191                      
 47 AK CEP    22 29 23.39 +58 13 16.8 11.047 0.006 10.346 0.006 10.203 0.014 21 21 21 11.058 10.344 10.141                      
 58 AK CEP    22 28 43.05 +58 11 11.1 11.259 0.006 10.960 0.008 11.003 0.022 21 21 21 11.223 10.919 10.825                      
 61 AK CEP    22 29 10.30 +58 09 24.1 11.351 0.007 11.111 0.008 11.084 0.023 21 21 21 11.280 11.078 10.994                      
  1 AN AUR    04 59 41.53 +40 50 09.6  7.932 0.018  7.434 0.016  7.274 0.015 20 20 20  7.802  7.354  7.182 Ceph AN AUR          
  2 AO AUR    05 47 43.92 +31 59 26.7  7.170 0.009  6.667 0.011  6.581 0.007 21 21 21  7.148  6.661  6.543 HD 247517            
  3 AO AUR    05 48 03.07 +32 03 19.6  8.384 0.095  6.547 0.078  5.294 0.068 21 21 21  8.463  6.690  5.255 Var Kiso C2-66       
  4 AO AUR    05 47 45.05 +32 00 52.7  8.640 0.018  8.188 0.016  8.064 0.015 21 21 21  8.675  8.306  8.130 Ceph AO AUR          
  5 AO AUR    05 47 45.69 +31 57 18.3  8.866 0.003  8.273 0.005  8.205 0.012 21 21 21  8.869  8.344  8.178                      
  6 AO AUR    05 47 44.21 +31 56 00.0  9.278 0.004  8.377 0.007  8.203 0.015 21 21 21  9.330  8.441  8.184                      
  8 AO AUR    05 48 09.40 +31 59 12.9  9.861 0.003  9.305 0.004  9.203 0.013 21 21 21  9.870  9.353  9.189                      
 10 AO AUR    05 47 55.22 +32 03 25.4 10.403 0.005  9.656 0.005  9.534 0.016 21 21 21 10.412  9.709  9.469                      
 11 AO AUR    05 47 31.35 +32 04 21.9 10.037 0.007  9.240 0.012  9.104 0.007 18 18 18 10.115  9.293  9.062                      
 16 AO AUR    05 48 00.82 +31 59 33.3 10.684 0.005 10.216 0.005 10.213 0.016 21 21 21 10.666 10.239 10.136                      
 20 AO AUR    05 47 47.93 +32 02 04.9 11.109 0.006 10.479 0.005 10.372 0.016 21 21 21 11.100 10.443 10.266                      
 22 AO AUR    05 48 08.71 +31 55 30.5 11.116 0.007 10.480 0.005 10.363 0.020 21 21 21 11.106 10.524 10.371                      
 26 AO AUR    05 47 31.36 +31 59 01.9 10.870 0.006 10.606 0.013 10.582 0.021 20 20 20 10.884 10.691 10.587                      
  1 AS PER    04 19 46.84 +48 57 11.7  6.934 0.018  6.465 0.016  6.295 0.015 18 18 18  6.827  6.391  6.242 Ceph AS PER          
  2 AS PER    04 20 11.22 +48 56 42.7  8.827 0.002  8.110 0.002  7.937 0.003 18 18 18  8.813  8.087  7.874                      
  5 AS PER    04 20 03.06 +49 01 04.7  9.601 0.004  8.932 0.004  8.693 0.007 18 18 18  9.593  8.889  8.735                      
 12 AS PER    04 20 21.69 +48 54 57.4 10.862 0.011  9.627 0.008  9.226 0.014 18 18 18 10.894  9.646  9.244                      
 13 AS PER    04 19 37.09 +48 56 48.0 10.225 0.007  9.553 0.005  9.393 0.017 18 18 18 10.244  9.588  9.404                      
 15 AS PER    04 19 45.36 +49 02 28.8 10.636 0.010  9.635 0.006  9.321 0.019 17 17 17 10.648  9.616  9.309                      
 23 AS PER    04 20 08.59 +48 54 29.5 11.283 0.011 10.457 0.007 10.184 0.021 18 18 18 11.347 10.487 10.186                      
 25 AS PER    04 20 01.74 +48 58 08.3 11.863 0.023 10.563 0.010 10.114 0.019 18 18 18 11.929 10.523 10.073                      
 26 AS PER    04 19 34.74 +48 54 26.4 10.963 0.013 10.661 0.015 10.691 0.042 18 18 18 10.947 10.698 10.626                      
 27 AS PER    04 20 15.17 +48 52 21.5 11.484 0.010 10.766 0.014 10.602 0.036 18 18 18 11.487 10.784 10.588                      
 28 AS PER    04 20 04.14 +49 00 16.7 11.210 0.015 10.825 0.013 10.659 0.039 18 18 18 11.184 10.746 10.656                      
 29 AS PER    04 19 33.83 +48 57 41.9 11.643 0.015 10.816 0.012 10.587 0.031 18 18 18 11.704 10.881 10.594                      
 32 AS PER    04 19 34.42 +48 58 53.2 11.837 0.022 10.962 0.015 10.688 0.028 18 18 18 11.952 10.976 10.679                      
 33 AS PER    04 20 16.61 +48 58 58.3 12.133 0.016 10.962 0.012 10.500 0.052 18 18 18 12.150 10.881 10.517                      
 34 AS PER    04 19 46.70 +48 57 56.0 12.166 0.021 10.997 0.018 10.661 0.045 18 18 18 12.123 10.978 10.556                      
 35 AS PER    04 20 18.82 +48 57 26.9 11.853 0.020 11.114 0.012 10.885 0.041 18 18 18 11.874 11.097 10.878                      
 37 AS PER    04 19 54.41 +48 57 17.1 11.434 0.013 11.134 0.016 10.970 0.063 18 18 18 11.403 11.154 11.028                      
