7 1001 54735.627   6.689 0.013 109 AASer
8 1001 54735.627   6.473 0.016 109 AASer
6 1001 54737.614   7.413 0.014 109 AASer
7 1001 54737.614   6.638 0.013 109 AASer
8 1001 54737.614   6.356 0.016 109 AASer
6 1001 54739.608   7.441 0.014 109 AASer
7 1001 54739.608   6.632 0.013 109 AASer
8 1001 54739.608   6.383 0.016 109 AASer
6 1001 54740.607   7.464 0.014 109 AASer
7 1001 54740.607   6.640 0.013 109 AASer
8 1001 54740.607   6.383 0.016 109 AASer
6 1001 54755.562   7.409 0.014 109 AASer
7 1001 54755.562   6.612 0.013 109 AASer
8 1001 54755.562   6.385 0.016 109 AASer
6 1001 54762.549   7.713 0.015 109 AASer
7 1001 54762.549   6.899 0.013 109 AASer
8 1001 54762.549   6.591 0.016 109 AASer
6 1001 54767.555   7.543 0.014 109 AASer
7 1001 54767.555   6.844 0.013 109 AASer
8 1001 54767.555   6.588 0.016 109 AASer
6 1001 54768.560   7.413 0.014 109 AASer
7 1001 54768.560   6.743 0.013 109 AASer
8 1001 54768.560   6.497 0.016 109 AASer
6 1001 54487.809   7.733 0.014 262 ACMon
7 1001 54487.809   7.131 0.013 262 ACMon
8 1001 54487.809   6.965 0.017 262 ACMon
6 1001 54488.805   7.772 0.014 262 ACMon
7 1001 54488.805   7.214 0.013 262 ACMon
8 1001 54488.805   7.013 0.017 262 ACMon
6 1001 54489.778   7.634 0.014 262 ACMon
7 1001 54489.778   7.153 0.013 262 ACMon
8 1001 54489.778   6.984 0.017 262 ACMon
6 1001 54490.772   7.525 0.014 262 ACMon
7 1001 54490.772   7.066 0.013 262 ACMon
8 1001 54490.772   6.895 0.017 262 ACMon
6 1001 54492.761   7.509 0.014 262 ACMon
7 1001 54492.761   7.000 0.013 262 ACMon
8 1001 54492.761   6.830 0.017 262 ACMon
6 1001 54512.705   7.755 0.014 262 ACMon
7 1001 54512.705   7.199 0.013 262 ACMon
8 1001 54512.705   7.043 0.017 262 ACMon
6 1001 54515.695   7.532 0.014 262 ACMon
7 1001 54515.695   7.023 0.013 262 ACMon
8 1001 54515.695   6.891 0.017 262 ACMon
6 1001 54520.616   7.760 0.014 262 ACMon
7 1001 54520.616   7.194 0.013 262 ACMon
8 1001 54520.616   7.020 0.017 262 ACMon
6 1001 54550.699   7.568 0.014 262 ACMon
7 1001 54550.699   7.007 0.013 262 ACMon
8 1001 54550.699   6.805 0.017 262 ACMon
6 1001 54560.597   7.751 0.014 262 ACMon
7 1001 54560.597   7.176 0.013 262 ACMon
8 1001 54560.597   6.973 0.017 262 ACMon
6 1001 54574.616   7.571 0.014 262 ACMon
7 1001 54574.616   6.998 0.013 262 ACMon
8 1001 54574.616   6.805 0.017 262 ACMon
6 1001 54575.612   7.645 0.014 262 ACMon
7 1001 54575.612   7.070 0.013 262 ACMon
8 1001 54575.612   6.869 0.017 262 ACMon
6 1001 54730.010   7.627 0.014 262 ACMon
7 1001 54730.010   7.128 0.013 262 ACMon
8 1001 54730.010   6.986 0.017 262 ACMon
6 1001 54738.978   7.498 0.014 262 ACMon
7 1001 54738.978   7.053 0.013 262 ACMon
8 1001 54738.978   6.872 0.017 262 ACMon
6 1001 54741.983   7.515 0.014 262 ACMon
7 1001 54741.983   6.967 0.013 262 ACMon
8 1001 54741.983   6.809 0.017 262 ACMon
6 1001 54748.957   7.441 0.014 262 ACMon
7 1001 54748.957   6.941 0.013 262 ACMon
8 1001 54748.957   6.808 0.017 262 ACMon
6 1001 54762.920   7.502 0.014 262 ACMon
7 1001 54762.920   7.066 0.013 262 ACMon
8 1001 54762.920   6.884 0.017 262 ACMon
6 1001 54764.002   7.502 0.014 262 ACMon
7 1001 54764.002   6.999 0.013 262 ACMon
8 1001 54764.002   6.844 0.017 262 ACMon
6 1001 54765.918   7.518 0.014 262 ACMon
7 1001 54765.918   6.994 0.013 262 ACMon
8 1001 54765.918   6.801 0.017 262 ACMon
6 1001 54766.910   7.572 0.014 262 ACMon
7 1001 54766.910   7.015 0.013 262 ACMon
8 1001 54766.910   6.825 0.017 262 ACMon
6 1001 54767.910   7.647 0.014 262 ACMon
7 1001 54767.910   7.068 0.013 262 ACMon
8 1001 54767.910   6.891 0.017 262 ACMon
6 1001 54768.894   7.737 0.014 262 ACMon
7 1001 54768.894   7.149 0.013 262 ACMon
8 1001 54768.894   6.992 0.017 262 ACMon
6 1001 54480.836   8.442 0.014 194 ADGem
7 1001 54480.836   8.107 0.013 194 ADGem
8 1001 54480.836   8.018 0.017 194 ADGem
6 1001 54482.910   8.485 0.014 194 ADGem
7 1001 54482.910   8.209 0.013 194 ADGem
8 1001 54482.910   8.080 0.018 194 ADGem
6 1001 54487.910   8.407 0.014 194 ADGem
7 1001 54487.910   8.084 0.013 194 ADGem
8 1001 54487.910   8.034 0.017 194 ADGem
6 1001 54488.727   8.477 0.014 194 ADGem
7 1001 54488.727   8.123 0.013 194 ADGem
8 1001 54488.727   8.031 0.017 194 ADGem
6 1001 54489.883   8.632 0.014 194 ADGem
7 1001 54489.883   8.242 0.013 194 ADGem
8 1001 54489.883   8.173 0.018 194 ADGem
6 1001 54512.837   8.615 0.014 194 ADGem
