AK CEP    2454737.687 0.32  8.337 0.014  7.808 0.013  7.676 0.017 0
AK CEP    2454739.892 0.63  8.459 0.014  7.894 0.013  7.740 0.017 0
AK CEP    2454740.719 0.74  8.544 0.015  7.998 0.013  7.842 0.017 0
AK CEP    2454746.759 0.57  8.438 0.014  7.875 0.013  7.722 0.017 0
AK CEP    2454757.689 0.09  8.321 0.014  7.855 0.013  7.712 0.017 0
AK CEP    2454762.658 0.77  8.562 0.015  8.026 0.013  7.872 0.017 0
AK CEP    2454765.754 0.20  8.329 0.014  7.814 0.013  7.665 0.017 0
AK CEP    2454767.752 0.48  8.400 0.014  7.835 0.013  7.708 0.017 0
AN AUR    2454488.613 0.70  7.899 0.015  7.416 0.014  7.219 0.031 0
AN AUR    2454489.612 0.80  7.790 0.015  7.329 0.014  7.166 0.031 0
AN AUR    2454492.634 0.09  7.950 0.015  7.412 0.014  7.267 0.032 0
AN AUR    2454515.636 0.33  8.083 0.015  7.552 0.014  7.322 0.033 0
AN AUR    2454515.654 0.33  8.119 0.015  7.586 0.014  7.358 0.034 0
AN AUR    2454515.811 0.34  8.082 0.015  7.542 0.014  7.305 0.033 0
AN AUR    2454516.607 0.42  8.074 0.015  7.582 0.014  7.402 0.034 0
AN AUR    2454520.816 0.83  7.816 0.015  7.358 0.014  7.195 0.031 0
AN AUR    2454726.981 0.86  7.822 0.015  7.338 0.014  7.197 0.031 0
AN AUR    2454734.915 0.64  7.887 0.015  7.444 0.014  7.299 0.033 0
AN AUR    2454735.923 0.73  7.836 0.015  7.366 0.014  7.226 0.031 0
AN AUR    2454737.827 0.92  7.863 0.015  7.362 0.014  7.204 0.031 0
AN AUR    2454738.907 0.02  7.860 0.015  7.336 0.014  7.195 0.031 0
AN AUR    2454740.886 0.22  8.004 0.015  7.446 0.014  7.311 0.033 0
AN AUR    2454748.886 0.99  7.865 0.015  7.350 0.014  7.209 0.031 0
AN AUR    2454753.773 0.47  8.019 0.015  7.547 0.014  7.402 0.034 0
AN AUR    2454754.834 0.57  7.905 0.015  7.478 0.014  7.300 0.033 0
AN AUR    2454755.827 0.67  7.887 0.015  7.425 0.014  7.307 0.033 0
AN AUR    2454758.918 0.97  7.889 0.015  7.343 0.014  7.217 0.031 0
AN AUR    2454761.004 0.17  7.946 0.015  7.401 0.014  7.262 0.032 0
AO AUR    2454487.916 0.00  8.512 0.016  8.136 0.015  7.992 0.019 0
AO AUR    2454488.674 0.12  8.530 0.016  8.112 0.015  7.966 0.018 0
AO AUR    2454489.704 0.27  8.590 0.016  8.117 0.015  7.945 0.018 0
AO AUR    2454490.713 0.42  8.609 0.016  8.141 0.015  7.960 0.018 0
AO AUR    2454492.675 0.71  8.865 0.016  8.352 0.015  8.181 0.019 0
AO AUR    2454520.802 0.86  8.746 0.016  8.324 0.015  8.178 0.019 0
AO AUR    2454724.967 0.05  8.504 0.016  8.125 0.015  7.986 0.019 0
AO AUR    2454726.967 0.35  8.559 0.016  8.088 0.015  7.985 0.019 0
AO AUR    2454734.947 0.53  8.708 0.016  8.198 0.015  8.096 0.019 0
AO AUR    2454735.939 0.68  8.819 0.016  8.288 0.015  8.161 0.019 0
AO AUR    2454737.854 0.96  8.506 0.016  8.161 0.015  8.110 0.019 0
AO AUR    2454746.917 0.30  8.559 0.016  8.098 0.015  7.985 0.019 0
AO AUR    2454747.928 0.45  8.630 0.016  8.126 0.015  8.036 0.019 0
AO AUR    2454748.908 0.59  8.744 0.016  8.214 0.015  8.090 0.019 0
AO AUR    2454755.864 0.62  8.754 0.016  8.235 0.015  8.154 0.019 0
AO AUR    2454756.942 0.78  8.855 0.016  8.371 0.015  8.226 0.019 0
AO AUR    2454757.874 0.92  8.557 0.016  8.193 0.015  8.094 0.019 0
AO AUR    2454758.972 0.08  8.493 0.016  8.095 0.015  8.005 0.019 0
AO AUR    2454760.989 0.38  8.570 0.016  8.116 0.015  7.986 0.019 0
AO AUR    2454762.796 0.65  8.777 0.016  8.279 0.015  8.152 0.019 0
AO AUR    2454766.014 0.12  8.507 0.016  8.098 0.015  8.023 0.019 0
AS PER    2454480.768 0.47  6.928 0.014  6.420 0.013  6.262 0.017 0
AS PER    2454488.548 0.03  6.846 0.014  6.427 0.013  6.269 0.017 0
AS PER    2454489.570 0.24  6.871 0.014  6.411 0.013  6.214 0.017 0
AS PER    2454515.800 0.51  6.987 0.014  6.444 0.013  6.233 0.017 0
AS PER    2454516.581 0.67  7.047 0.014  6.527 0.013  6.358 0.017 0
AS PER    2454520.680 0.49  6.978 0.014  6.454 0.013  6.241 0.017 0
AS PER    2454529.582 0.28  6.876 0.014  6.413 0.013  6.218 0.017 0
AS PER    2454725.012 0.59  7.003 0.014  6.479 0.013  6.282 0.017 0
AS PER    2454725.884 0.76  7.127 0.014  6.592 0.013  6.403 0.017 0
AS PER    2454726.922 0.97  6.862 0.014  6.486 0.013  6.304 0.017 0
AS PER    2454732.908 0.17  6.814 0.014  6.396 0.013  6.215 0.017 0
AS PER    2454735.880 0.77  7.107 0.014  6.586 0.013  6.478 0.017 0
AS PER    2454736.965 0.99  6.818 0.014  6.434 0.013  6.281 0.017 0
AS PER    2454738.865 0.37  6.884 0.014  6.397 0.013  6.253 0.017 0
AS PER    2454749.023 0.42  6.911 0.014  6.422 0.013  6.295 0.017 0
AS PER    2454755.035 0.62  7.024 0.014  6.495 0.013  6.350 0.017 0
AS PER    2454755.945 0.81  7.101 0.014  6.596 0.013  6.423 0.017 0
AS PER    2454766.900 0.01  6.807 0.014  6.427 0.013  6.257 0.017 0
AS VUL    2454516.031 0.43  8.346 0.014  7.626 0.013  7.429 0.017 0
AS VUL    2454517.019 0.51  8.435 0.015  7.686 0.013  7.477 0.017 0
AS VUL    2454526.009 0.25  8.255 0.014  7.606 0.013  7.358 0.017 0
AS VUL    2454546.981 0.96  8.411 0.014  7.822 0.013  7.584 0.017 0
AS VUL    2454553.926 0.53  8.419 0.014  7.707 0.013  7.439 0.017 0
AS VUL    2454560.890 0.10  8.238 0.014  7.662 0.013  7.419 0.017 0
AS VUL    2454577.868 0.49  8.375 0.014  7.653 0.013  7.411 0.017 0
AS VUL    2454578.968 0.58  8.483 0.015  7.741 0.013  7.486 0.017 0
AS VUL    2454579.870 0.66  8.548 0.015  7.814 0.013  7.560 0.017 0
AS VUL    2454580.862 0.74  8.559 0.015  7.865 0.013  7.639 0.017 0
AS VUL    2454584.859 0.06  8.270 0.014  7.714 0.013  7.488 0.017 0
AS VUL    2454585.863 0.15  8.229 0.014  7.622 0.013  7.380 0.017 0
AS VUL    2454586.832 0.23  8.232 0.014  7.611 0.013  7.371 0.017 0
AS VUL    2454611.852 0.27  8.265 0.014  7.582 0.013  7.362 0.017 0
AS VUL    2454617.921 0.77  8.536 0.015  7.858 0.013  7.637 0.017 0
