0.050000  1.028306 -0.995038 -5.860811   1099.767765 0.248444 10.300687 9.236265 8.632713 8.071089 0.010923 -0.010486 -0.015716 0.051448 0.025573 0.005081 -0.010639 -0.015747 0.204433 0.109559 0.063865 0.039397 0.092156 0.139715 0.090321 0.056647 0.033984 0.097172 0.179108 0.220092 0.231898 0.254867 8.706269 -3.121691 -3.121691 -3.121691 -3.121691 -0.019173 -0.010517 -0.012658 -0.020579
0.055000  0.997936 -1.014657 -6.282853   1177.949924 0.256456 10.306975 9.241232 8.637130 8.075002 0.014252 -0.007580 -0.012913 0.055575 0.029191 0.008295 -0.007736 -0.012944 0.211577 0.114832 0.068238 0.043287 0.097086 0.145583 0.095215 0.060877 0.037767 0.102201 0.185753 0.227545 0.239583 0.263005 8.710687 -3.180128 -3.180128 -3.180128 -3.180128 -0.016437 -0.007611 -0.009794 -0.017872
0.060000  0.965522 -1.033217 -6.677900   1250.867462 0.264262 10.313150 9.246157 8.641535 8.078929 0.017627 -0.004604 -0.010034 0.059707 0.032839 0.011561 -0.004763 -0.010066 0.218562 0.120047 0.072601 0.047194 0.101977 0.151361 0.100072 0.065106 0.041573 0.107185 0.192266 0.234822 0.247081 0.270931 8.715092 -3.235183 -3.235183 -3.235183 -3.235183 -0.013623 -0.004636 -0.006859 -0.015084
0.065000  0.931206 -1.050726 -7.043397   1318.049204 0.271855 10.319205 9.251033 8.645920 8.082864 0.021041 -0.001566 -0.007089 0.063834 0.036511 0.014873 -0.001728 -0.007121 0.225381 0.125197 0.076946 0.051109 0.106820 0.157041 0.104883 0.069324 0.045393 0.112117 0.198639 0.241917 0.254383 0.278638 8.719479 -3.286890 -3.286890 -3.286890 -3.286890 -0.010739 -0.001599 -0.003859 -0.012224
0.070000  0.895141 -1.067193 -7.376989   1379.066394 0.279230 10.325133 9.255851 8.650278 8.086798 0.024485 0.001523 -0.004086 0.067949 0.040198 0.018220 0.001359 -0.004119 0.232027 0.130274 0.081266 0.055024 0.111609 0.162617 0.109641 0.073525 0.049218 0.116989 0.204867 0.248822 0.261484 0.286119 8.723837 -3.335290 -3.335290 -3.335290 -3.335290 -0.007793 0.001491 -0.000806 -0.009302
0.075000  0.857493 -1.082631 -7.676542   1433.536585 0.286380 10.330926 9.260605 8.654599 8.090722 0.027950 0.004656 -0.001035 0.072042 0.043889 0.021594 0.004489 -0.001068 0.238494 0.135268 0.085552 0.058931 0.116334 0.168080 0.114337 0.077699 0.053041 0.121791 0.210941 0.255532 0.268377 0.293368 8.728158 -3.380426 -3.380426 -3.380426 -3.380426 -0.004795 0.004622 0.002293 -0.006326
0.080000  0.818436 -1.097050 -7.940162   1481.127071 0.293297 10.336576 9.265284 8.658875 8.094627 0.031425 0.007821 0.002055 0.076105 0.047577 0.024985 0.007652 0.002021 0.244774 0.140173 0.089795 0.062819 0.120986 0.173421 0.118963 0.081837 0.056850 0.126516 0.216853 0.262038 0.275054 0.300378 8.732434 -3.422346 -3.422346 -3.422346 -3.422346 -0.001756 0.007787 0.005427 -0.003307
0.085000  0.778154 -1.110464 -8.166214   1521.557819 0.299975 10.342075 9.269879 8.663094 8.098501 0.034901 0.011008 0.005171 0.080127 0.051250 0.028382 0.010837 0.005137 0.250858 0.144979 0.093984 0.066678 0.125557 0.178633 0.123509 0.085929 0.060637 0.131155 0.222596 0.268334 0.281509 0.307143 8.736654 -3.461101 -3.461101 -3.461101 -3.461101 0.001314 0.010974 0.008585 -0.000256
0.090000  0.736838 -1.122886 -8.353337   1554.603876 0.306405 10.347414 9.274382 8.667249 8.102336 0.038366 0.014206 0.008304 0.084098 0.054899 0.031774 0.014034 0.008270 0.256739 0.149675 0.098111 0.070499 0.130037 0.183707 0.127966 0.089965 0.064390 0.135697 0.228161 0.274411 0.287733 0.313654 8.740809 -3.496742 -3.496742 -3.496742 -3.496742 0.004404 0.014172 0.011756 0.002816
0.095000  0.694687 -1.134329 -8.500458   1580.097260 0.312581 10.352584 9.278781 8.671328 8.106121 0.041810 0.017404 0.011442 0.088008 0.058511 0.035151 0.017229 0.011407 0.262408 0.154254 0.102163 0.074270 0.134415 0.188632 0.132323 0.093935 0.068099 0.140133 0.233539 0.280260 0.293718 0.319903 8.744888 -3.529325 -3.529325 -3.529325 -3.529325 0.007502 0.017369 0.014928 0.005898
0.100000  0.651902 -1.144807 -8.606802   1597.928299 0.318493 10.357575 9.283066 8.675320 8.109843 0.045221 0.020589 0.014572 0.091845 0.062076 0.038500 0.020413 0.014537 0.267857 0.158703 0.106132 0.077981 0.138681 0.193399 0.136570 0.097827 0.071753 0.144452 0.238721 0.285873 0.299456 0.325882 8.748881 -3.558901 -3.558901 -3.558901 -3.558901 0.010596 0.020554 0.018091 0.008977
0.105000  0.608688 -1.154333 -8.671904   1608.046438 0.324133 10.362378 9.287228 8.679215 8.113493 0.048587 0.023751 0.017683 0.095600 0.065583 0.041810 0.023573 0.017648 0.273076 0.163014 0.110005 0.081620 0.142825 0.197998 0.140696 0.101631 0.075340 0.148644 0.243697 0.291242 0.304938 0.331584 8.752776 -3.585523 -3.585523 -3.585523 -3.585523 0.013674 0.023715 0.021231 0.012042
