VV CAS    01 51 07.0 +59 53 18  11.20 10.26  DCEP       6.207059
VW CAS    01 05 48.2 +61 45 18  11.07 10.36  DCEP       5.993859
XY CAS    00 49 53.3 +60 07 39  10.26  9.61  DCEP       4.501697
AP CAS    00 33 16.2 +62 54 26  11.87 11.25  DCEP       6.8470
AS CAS    00 25 37.8 +64 13 48  12.55 11.81  CEP(B)     3.02125
AW CAS    01 16 01.2 +61 37 15  14.3  13.2   DCEP       4.27833
AY CAS    01 39 00.0 +64 59 21  11.95 11.23  DCEP       2.871294
BF CAS    00 14 03.3 +60 59 11  14.1  13.1   DCEP       3.63029
BP CAS    01 15 01.1 +65 35 58  11.33 10.55  DCEP       6.272724
BV CAS    01 30 01.1 +62 17 03  14.3  12.8   DCEP       5.39964
BY CAS    01 47 11.9 +61 25 21  10.58 10.06  DCEPS      3.223316
CD CAS    23 45 02.6 +63 00 14  11.15 10.37  DCEP       7.80089
CE CAS    23 58 09.5 +61 12 49  11.15 10.63  DCEP       5.1410583
CF CAS    23 58 18.0 +61 13 16  11.47 10.80  DCEP       4.87522
CG CAS    00 00 59.2 +60 57 32  11.73 10.89  DCEP       4.36554
CH CAS    23 22 28.4 +62 45 26  11.45 10.37  DCEP      15.08619
CS CAS    23 50 14.2 +51 23 59  12.88 11.46  CWA       14.73602
CT CAS    00 20 03.0 +63 10 47  14.3  13.1   DCEP       3.81061
CY CAS    23 29 12.8 +63 22 27  12.21 11.07  DCEP      14.37686
CZ CAS    23 39 27.4 +62 22 20  12.11 11.30  DCEP       5.66438
DD CAS    23 57 35.0 +62 43 06  10.18  9.56  DCEP       9.812027
DF CAS    02 44 43.3 +61 27 53  11.13 10.53  DCEP       3.832472
DL CAS    00 29 58.6 +60 12 43   9.26  8.63  DCEP       8.000669
EX CAS    00 02 41.8 +61 51 40  14.4  13.5   DCEP       4.30530
FM CAS    00 14 28.2 +56 15 11   9.47  8.82  DCEP       5.809284
FO CAS    00 17 02.5 +60 48 10  16.0  15.1   DCEP       6.7988
FW CAS    00 36 44.5 +62 16 28  14.3  13.5   DCEP       6.23705
GL CAS    02 10 46.3 +59 15 13  14.4  13.4   DCEP       4.00789
GM CAS    02 26 56.7 +60 34 17  14.0  13.4   DCEP       7.4689
GO CAS    02 35 05.7 +59 23 03  15.8  14.9   DCEP       3.23904
HK CAS    00 57 20.1 +55 26 20  16.3  14.7   DCEP       2.499563
IO CAS    01 47 02.7 +59 36 23  15.4  14.4   DCEP       5.60392
KK CAS    23 49 56.0 +59 56 27  14.0  13.0   DCEP       8.191650
LT CAS    02 45 51.5 +63 18 16  14.7  13.1   DCEP       5.90488
NP CAS    00 23 57.6 +62 57 00  15.2  14.5   DCEP       6.170600
NY CAS    00 40 23.2 +58 37 07  13.9  13.3   DCEPS      2.8230921
OP CAS    00 46 29.9 +63 32 36  14.2  12.9   DCEP       5.5128
OZ CAS    01 14 19.6 +62 02 39  16.2  15.2   DCEP       5.0800
PW CAS    23 25 58.5 +61 16 01  14.8  14.0   DCEP       3.999927
V342 CAS  23 01 21.2 +57 52 02  13.5  12.4   DCEP       3.91989
V379 CAS  00 26 36.0 +60 47 53   9.23  8.88  DCEPS      4.30575
V395 CAS  02 10 29.2 +63 17 51  10.95 10.39  DCEP       4.037728
V407 CAS  23 54 24.6 +62 08 58  13.6  12.8   DCEP       4.5845526
V553 CAS  01 08 11.0 +62 16 12  15.5  14.2   INS:
V636 CAS  01 32 43.2 +63 35 38   7.26  7.09  DCEPS      8.377
V824 CAS  00 22 31.3 +63 01 59  11.36 11.03  DCEP
V CEN     14 32 33.1 -56 53 16   7.21  6.43  DCEP       5.493839
TX CEN    14 35 12.0 -60 59 52  11.14  9.85  DCEP      17.0936
UZ CEN    11 40 58.5 -62 41 33   9.12  8.30  CEP(B)     3.33434
VW CEN    13 33 59.0 -64 03 20  10.72  9.67  DCEP      15.03618
XX CEN    13 40 18.6 -57 36 47   8.31  7.30  DCEP      10.954348
AY CEN    11 25 05.8 -60 44 05   9.16  8.58  DCEP       5.30975
AZ CEN    11 25 13.0 -61 22 09   8.80  8.41  DCEPS      3.21068
BB CEN    11 53 33.5 -62 51 08  10.48  9.86  DCEPS      3.99766
BK CEN    11 49 16.0 -63 04 43  10.38  9.60  CEP(B)     3.173887
IU CEN    14 07 30.8 -56 41 55  14.3  12.9   CEP        3.31926
IZ CEN    11 41 19.6 -62 15 53  15.1  14.28  DCEP       5.8923
KK CEN    11 42 48.2 -58 59 36  11.94 10.84  DCEP      12.1803
KN CEN    13 36 36.9 -64 33 30  10.36  9.28  DCEP      34.0457
LV CEN    11 33 17.8 -63 14 33  14.7  13.3   DCEP       4.97513
MY CEN    13 11 04.5 -61 37 38  12.60 11.64  DCEP       3.71861
MZ CEN    13 14 01.8 -64 19 29  11.99 11.21  CEP       10.353
OO CEN    13 26 30.2 -63 09 45  12.47 11.62  DCEP      12.8805
QY CEN    14 08 17.2 -61 44 10  12.36 11.28  DCEP      17.7524
V339 CEN  14 21 48.5 -61 32 59   9.17  8.40  DCEP       9.4660
V378 CEN  13 18 58.3 -62 22 56   8.68  8.27  DCEPS      6.45930
V381 CEN  13 50 44.3 -57 34 50   8.01  7.32  CEP        5.07878
V419 CEN  11 30 54.4 -56 53 56   8.36  7.98  DCEPS      5.50691
V420 CEN  11 39 50.3 -47 57 51  10.60  9.37  CWA       24.7678
V496 CEN  13 03 10.7 -60 52 39  10.24  9.62  DCEP       4.42419
V553 CEN  14 46 33.6 -32 10 15   8.80  8.23  CWB        2.06051
V641 CEN  14 39 07.9 -59 50 09  10.86  9.96  DCEP      35.216
V659 CEN  13 31 33.4 -61 34 57   6.71  6.45  DCEP       5.62180
V686 CEN  11 31 37.5 -61 03 22  14.0  12.4   CEP       69.3
V737 CEN  14 37 12.0 -62 00 39   8.0   7.5   DCEP       7.06585
V898 CEN  11 11 20.4 -54 33 25   8.21  7.93  DCEPS:
AK CEP    22 28 50.1 +58 12 39  11.52 10.86  DCEP       7.23268
CN CEP    23 25 34.8 +64 47 25  14.5  13.6   DCEP       9.50250
CP CEP    21 57 52.7 +56 09 50  10.96 10.06  DCEP      17.8590
CR CEP    22 46 24.8 +59 26 32   9.83  9.43  DCEP       6.232964
DR CEP    20 49 05.6 +58 53 57  15.0  13.2   DCEP      19.06588
IR CEP    21 57 51.9 +61 01 08   7.98  7.58  DCEP       2.114124
IY CEP    22 07 35.5 +55 21 46  14.8  13.6   CEP        5.656906
KO CEP    22 10 58.4 +56 17 30  16.5  15.5   DCEP       4.55809
MU CEP    22 23 38.6 +57 40 51  14.1  12.7   CEP        3.767820
V351 CEP  22 33 41.4 +57 19 06   9.70  9.25  CWB        2.80591
DEL CEP   22 29 10.3 +58 24 55   4.37  3.48  DCEP       5.366341
AV CIR    14 50 30.3 -67 29 51   8.6   8.0   DCEP       3.0651
AX CIR    14 52 35.3 -63 48 35   6.09  5.65  DCEP       5.273268
BP CIR    14 46 42.0 -61 27 43   7.87  7.54  CEP        2.3984
RW CMA    07 13 11.7 -18 43 51  12.8  11.8   DCEP       5.729685
