3 150 50580.3745  9.023 -10.000 577 HW_Car
4 150 50580.3745  8.476 -10.000 577 HW_Car
5 150 50580.3745  7.957 -10.000 577 HW_Car
3 150 50582.3155  9.009 -10.000 577 HW_Car
4 150 50582.3155  8.460 -10.000 577 HW_Car
5 150 50582.3155  7.932 -10.000 577 HW_Car
3 150 50582.3877  9.002 -10.000 577 HW_Car
4 150 50582.3877  8.448 -10.000 577 HW_Car
5 150 50582.3877  7.929 -10.000 577 HW_Car
3 150 50583.3013  9.088 -10.000 577 HW_Car
4 150 50583.3013  8.516 -10.000 577 HW_Car
5 150 50583.3013  7.974 -10.000 577 HW_Car
3 150 50583.3863  9.099 -10.000 577 HW_Car
4 150 50583.3863  8.522 -10.000 577 HW_Car
5 150 50583.3863  7.980 -10.000 577 HW_Car
3 150 50584.2943  9.214 -10.000 577 HW_Car
4 150 50584.2943  8.614 -10.000 577 HW_Car
5 150 50584.2943  8.057 -10.000 577 HW_Car
3 150 50584.3653  9.216 -10.000 577 HW_Car
4 150 50584.3653  8.613 -10.000 577 HW_Car
5 150 50584.3653  8.052 -10.000 577 HW_Car
